state_name,fips,FedCattle,Price,Markdown,MarkdownSpatial,MarkdownMulti,MarkdownContract,CapEffect
KENTUCKY,21057,169.0714286,138.143872878951,3.27447135455022,1.67061688556846,0.183184949775354,1.4206695192064,1.56023513170213
KENTUCKY,21059,246,138.702637791198,3.44594151244933,1.71425024590072,0.192868207618148,1.53882305893046,1.39660012093812
KENTUCKY,21061,169.0714286,138.153427995601,3.36112145116434,1.68738366371943,0.198995216129771,1.47474257131514,1.42584981206843
KENTUCKY,21063,79,138.828341617697,3.72045649484714,1.87521505229071,0.372705085620701,1.47253635693573,1.08545460083294
KENTUCKY,21067,567,138.774685709559,3.64853260810832,1.83121495048829,0.294007783665452,1.52330987395457,1.23349545877424
KENTUCKY,21069,1182,138.991444517767,3.78350714630382,1.90724671644455,0.365684648270089,1.51057578158918,1.07445510551872
KENTUCKY,21073,169.0714286,138.976616278422,3.69939560858245,1.85680671632855,0.287288009499298,1.5553008827546,1.22338853312406
KENTUCKY,21077,169.0714286,139.382440819284,3.80728293244937,1.91423267913733,0.314465934693999,1.57858431861804,1.15570926725101
KENTUCKY,21079,169.0714286,138.710008651655,3.57726548936105,1.83251033048085,0.285177741267973,1.45957741761223,1.26799862164381
KENTUCKY,21081,295,139.237559655479,3.79508838744854,1.90443695988691,0.32091644186684,1.56973498569479,1.14821708448968
KENTUCKY,21083,797,137.98936720078,3.16290593640919,1.55827264234888,0.151106787788942,1.45352650627137,1.51492182748536
KENTUCKY,21085,994,138.35285106401,3.41930887502304,1.7121482775852,0.206386665144544,1.5007739322933,1.38605402428111
KENTUCKY,21087,123,138.317168921461,3.41862260591076,1.70930317062526,0.200164035436536,1.50915539984896,1.46754941806702
KENTUCKY,21089,169.0714286,139.000882758029,3.85991792972028,1.92814029749168,0.412571851436727,1.51920578079187,0.977293823181305
KENTUCKY,21091,328,138.745270152464,3.47933328401055,1.73706458817984,0.206590441542726,1.53567825428798,1.35904869083839
KENTUCKY,21093,397,138.495138305531,3.47606741785032,1.74328778321973,0.226409457738874,1.50637017689172,1.34157880871422
KENTUCKY,21097,424,139.016631508862,3.75566604296009,1.88017631890155,0.323566315543616,1.55192340851492,1.1545173386238
KENTUCKY,21099,411,138.346271128686,3.4348352596374,1.71058904383997,0.190466882508196,1.53377933328923,1.46859519007941
KENTUCKY,21101,403,138.889666341013,3.47665025511832,1.69617476647566,0.195869946881291,1.58460554176137,1.46479633588117
KENTUCKY,21103,378,139.193912720545,3.74064971444514,1.87960785753556,0.286777456375229,1.57426440053436,1.21072682410566
