state_name,state,fips,fed_cattle,lat,lon,region,contract_share
IDAHO,16,16025,18958.25,43.462742,-114.80516,6,0.853
IDAHO,16,16027,2571,43.627655,-116.71004,6,0.853
IDAHO,16,16029,156,42.769161,-111.56309,6,0.853
IDAHO,16,16031,122344,42.284843,-113.60116,6,0.853
IDAHO,16,16037,18958.25,44.241642,-114.28519,6,0.853
IDAHO,16,16039,18958.25,43.352608,-115.47089,6,0.853
IDAHO,16,16041,1184,42.181404,-111.81754,6,0.853
IDAHO,16,16043,135,44.232479,-111.48109,6,0.853
IDAHO,16,16045,918,44.053413,-116.40202,6,0.853
IDAHO,16,16047,326,42.969444,-114.8127,6,0.853
IDAHO,16,16049,935,45.844494,-115.46659,6,0.853
IDAHO,16,16051,23066,43.819695,-112.30969,6,0.853
IDAHO,16,16053,29854,42.6894,-114.26213,6,0.853
IDAHO,16,16055,137,47.673241,-116.70065,6,0.853
IDAHO,16,16057,18958.25,46.812256,-116.71122,6,0.853
IDAHO,16,16059,161,44.943783,-113.93477,6,0.853
IDAHO,16,16061,428,46.233959,-116.42751,6,0.853
IDAHO,16,16063,18958.25,43.001274,-114.13583,6,0.853
IDAHO,16,16065,18958.25,43.783421,-111.6524,6,0.853
IDAHO,16,16067,18958.25,42.857487,-113.63529,6,0.853
IDAHO,16,16069,325,46.330368,-116.74541,6,0.853
IDAHO,16,16071,249,42.194958,-112.54095,6,0.853
IDAHO,16,16073,18958.25,42.581799,-116.17038,6,0.853
IDAHO,16,16075,18958.25,44.006878,-116.75487,6,0.853
IDAHO,16,16077,18958.25,42.692043,-112.84003,6,0.853
IDAHO,16,16081,264,43.75296,-111.20583,6,0.853
IDAHO,16,16083,2560,42.353718,-114.66734,6,0.853
IDAHO,16,16085,594,44.766724,-115.56564,6,0.853
IDAHO,16,16087,425,44.453415,-116.77792,6,0.853
ILLINOIS,17,17001,5836,39.987,-91.191612,8,0.409
ILLINOIS,17,17005,542,38.888077,-89.435219,8,0.409
ILLINOIS,17,17007,308,42.323494,-88.823433,8,0.409
ILLINOIS,17,17011,5988,41.403873,-89.527458,8,0.409
ILLINOIS,17,17015,16609,42.068165,-89.932404,8,0.409
ILLINOIS,17,17017,313,39.970478,-90.246262,8,0.409
ILLINOIS,17,17019,478,40.139492,-88.198166,8,0.409
ILLINOIS,17,17021,1303.090909,39.545357,-89.277046,8,0.409
ILLINOIS,17,17023,236,39.332836,-87.78894,8,0.409
ILLINOIS,17,17025,557,38.752037,-88.484261,8,0.409
ILLINOIS,17,17027,7456,38.606491,-89.423721,8,0.409
ILLINOIS,17,17029,307,39.519489,-88.223587,8,0.409
